,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0,0000008947-25-000140,8947,AZZ INC,3470.0,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,8178100095,US,TX,FORT WORTH,76107,"ONE MUSEUM PLACE, SUITE 500",3100 W 7TH STREET,US,TX,750948250,AZTEC MANUFACTURING CO,20000911.0,1-LAF,0,228.0,10-Q,2025-05-31,2026.0,Q1,2025-07-09,2025-07-09 16:15:00,0,1,azz-20250531_htm.xml,1,
1,0000009326-25-000014,9326,BALCHEM CORP,2800.0,US,NJ,MONTVALE,07645,5 PARAGON DRIVE,,(845) 326-5600,US,NJ,MONTVALE,07645,5 PARAGON DRIVE,,US,MD,132578432,,,1-LAF,0,1231.0,10-Q,2025-06-30,2025.0,Q2,2025-07-31,2025-07-31 16:17:00,0,1,bcpc-20250630_htm.xml,1,
2,0000010048-25-000025,10048,BARNWELL INDUSTRIES INC,1311.0,US,HI,HONOLULU,96813,1100 ALAKEA ST.,SUITE 500,808-531-8400,US,HI,HONOLULU,96813,1100 ALAKEA ST.,SUITE 500,US,DE,720496921,BMA CORP/TN,19770324.0,4-NON,0,930.0,10-Q,2025-06-30,2025.0,Q3,2025-08-13,2025-08-13 17:08:00,0,1,brn-20250630_htm.xml,1,
3,0000010795-25-000072,10795,BECTON DICKINSON & CO,3841.0,US,NJ,FRANKLIN LAKES,07417-1880,ONE BECTON DR,,2018476800,US,NJ,FRANKLIN LAKE,07417,ONE BECTON DR,,US,NJ,220760120,,,1-LAF,0,930.0,10-Q,2025-06-30,2025.0,Q3,2025-08-07,2025-08-07 16:27:00,0,1,bdx-20250630_htm.xml,1,
4,0000011544-25-000024,11544,BERKLEY W R CORP,6331.0,US,CT,GREENWICH,06830,475 STEAMBOAT ROAD,.,2036293000,US,CT,GREENWICH,06830,475 STEAMBOAT ROAD,.,US,DE,221867895,,,1-LAF,0,1231.0,10-Q,2025-06-30,2025.0,Q2,2025-08-04,2025-08-04 16:13:00,0,1,wrb-20250630_htm.xml,1,
5,0000012208-25-000052,12208,"BIO-RAD LABORATORIES, INC.",3826.0,US,CA,HERCULES,94547,1000 ALFRED NOBEL DRIVE,,5107247000,US,CA,HERCULES,94547,1000 ALFRED NOBEL DRIVE,,US,DE,941381833,BIO RAD LABORATORIES INC,19920703.0,1-LAF,0,1231.0,10-Q,2025-06-30,2025.0,Q2,2025-07-31,2025-07-31 16:18:00,0,1,bio-20250630_htm.xml,1,
6,0000028917-25-000025,28917,"DILLARD'S, INC.",5311.0,US,AR,LITTLE ROCK,72201,1600 CANTRELL RD,,5013765200,US,AR,LITTLE ROCK,72201,1600 CANTRELL ROAD,,US,TX,710388071,DILLARDS INC,19980622.0,1-LAF,0,131.0,10-Q,2025-07-31,2025.0,Q2,2025-09-05,2025-09-05 16:42:00,0,1,dds-20250802x10q_htm.xml,1,
7,0000029332-25-000063,29332,DIXIE GROUP INC,2273.0,US,GA,DALTON,30722,PO BOX 2007,,7068765814,US,GA,DALTON,30722,PO BOX 2007,,US,TN,620183370,DIXIE YARNS INC,19920703.0,4-NON,0,1231.0,10-Q,2025-06-30,2025.0,Q2,2025-08-08,2025-08-08 13:28:00,0,1,dxyn-20250628_htm.xml,1,
8,0000029644-25-000098,29644,DONALDSON CO INC,3564.0,US,MN,BLOOMINGTON,55431,1400 W. 94TH ST.,,6128873131,US,MN,BLOOMINGTON,55431,1400 W 94TH STREET,,US,DE,410222640,DONALDSON CO INC,19920703.0,1-LAF,1,731.0,10-K,2025-07-31,2025.0,FY,2025-09-26,2025-09-26 12:23:00,0,1,dci-20250731_htm.xml,1,
9,0000029905-25-000024,29905,DOVER CORP,3530.0,US,IL,DOWNERS GROVE,60515,3005 HIGHLAND PARKWAY,SUITE 200,(630) 541-1540,US,IL,DOWNERS GROVE,60515,3005 HIGHLAND PARKWAY,SUITE 200,US,DE,530257888,DOVER CORP,19920703.0,1-LAF,0,1231.0,10-Q,2025-06-30,2025.0,Q2,2025-07-24,2025-07-24 06:46:00,0,1,dov-20250630_htm.xml,1,
